model,feature,coefficient,abs_coefficient
baseline,quantity_sum,0.8449055088891119,0.8449055088891119
baseline,experiment_group=통제군,-0.6728191672125101,0.6728191672125101
baseline,intercept,-0.4021316297586521,0.4021316297586521
baseline,category=치킨,-0.3736029546983453,0.3736029546983453
baseline,reply_rate,0.3188603893655644,0.3188603893655644
baseline,reply_count,-0.3147348027029768,0.3147348027029768
baseline,brand=굽네치킨,-0.31363179587653534,0.31363179587653534
baseline,sales_amount,-0.3118060931194481,0.3118060931194481
baseline,review_count,0.3013003114166609,0.3013003114166609
baseline,avg_reply_delay_hours,-0.29954103452709335,0.29954103452709335
baseline,experiment_group=실험군,0.27073697766204935,0.27073697766204935
baseline,persona_tone_enabled=False,-0.2362707858205307,0.2362707858205307
baseline,promo_phrase_enabled=True,-0.23060366926192136,0.23060366926192136
baseline,sido=인천광역시,-0.19236357371752702,0.19236357371752702
baseline,sido=제주특별자치도,-0.18963088098588957,0.18963088098588957
baseline,is_post_treatment,0.18585748265860247,0.18585748265860247
baseline,sido=서울특별시,0.1809799505638093,0.1809799505638093
baseline,promo_phrase_enabled=False,-0.17147852028853952,0.17147852028853952
baseline,persona_tone_enabled=True,-0.16581140372992878,0.16581140372992878
baseline,sido=전북특별자치도,0.14483151757983703,0.14483151757983703
baseline,sido=경상남도,-0.14133928121337813,0.14133928121337813
baseline,avg_rating,-0.13563754925912713,0.13563754925912713
baseline,sido=충청북도,-0.11539270516785873,0.11539270516785873
baseline,sido=대전광역시,-0.09688658960007401,0.09688658960007401
baseline,store_avg_ticket,-0.0922157522039427,0.0922157522039427
baseline,sido=경상북도,-0.09034805027023263,0.09034805027023263
baseline,category=백반·죽·국수,-0.08845039367392417,0.08845039367392417
baseline,brand=본그룹,-0.08845039367392417,0.08845039367392417
baseline,sido=충청남도,0.07881035301112775,0.07881035301112775
baseline,sido=부산광역시,-0.0737824931684894,0.0737824931684894
baseline,sido=전라남도,0.06970927391917406,0.06970927391917406
baseline,category=피자,0.05997115882180959,0.05997115882180959
baseline,sido=경기도,0.05843863057919683,0.05843863057919683
baseline,active_menu_count,-0.05141766048179031,0.05141766048179031
baseline,sido=광주광역시,-0.050341933053013106,0.050341933053013106
baseline,sido=울산광역시,0.03211874672354945,0.03211874672354945
baseline,menu_count,-0.014151546625050403,0.014151546625050403
baseline,sido=세종특별자치시,-0.01109728567030466,0.01109728567030466
baseline,order_count,-0.010612668898591733,0.010612668898591733
baseline,sido=대구광역시,-0.0034567208733952475,0.0034567208733952475
baseline,sold_out_menu_count,-0.002940917824683572,0.002940917824683572
baseline,sido=강원특별자치도,-0.0023311482069936435,0.0023311482069936435
baseline,avg_pickup_menu_price,-0.00025999571182699433,0.00025999571182699433
baseline,hidden_menu_count,0.000181622824188684,0.000181622824188684
baseline,avg_delivery_menu_price,3.231007153326902e-05,3.231007153326902e-05
growth_alpha,quantity_sum,0.842314406847645,0.842314406847645
growth_alpha,experiment_group=통제군,-0.6735268502308311,0.6735268502308311
growth_alpha,intercept,-0.40270843783987914,0.40270843783987914
growth_alpha,category=치킨,-0.37378629169693994,0.37378629169693994
growth_alpha,reply_rate,0.31849653476648826,0.31849653476648826
growth_alpha,brand=굽네치킨,-0.3143720869855909,0.3143720869855909
growth_alpha,reply_count,-0.3120374206786753,0.3120374206786753
growth_alpha,sales_amount,-0.3082300082815277,0.3082300082815277
growth_alpha,avg_reply_delay_hours,-0.3001377369892494,0.3001377369892494
growth_alpha,review_count,0.2987225907910621,0.2987225907910621
growth_alpha,experiment_group=실험군,0.2708678997001986,0.2708678997001986
growth_alpha,persona_tone_enabled=False,-0.23793109554227568,0.23793109554227568
growth_alpha,promo_phrase_enabled=True,-0.23157443747873166,0.23157443747873166
growth_alpha,sido=인천광역시,-0.19309569638518578,0.19309569638518578
growth_alpha,sido=제주특별자치도,-0.18933611168754166,0.18933611168754166
growth_alpha,is_post_treatment,0.18548911975666574,0.18548911975666574
growth_alpha,sido=서울특별시,0.17935288201573893,0.17935288201573893
growth_alpha,promo_phrase_enabled=False,-0.17108451305190311,0.17108451305190311
growth_alpha,persona_tone_enabled=True,-0.16472785498835718,0.16472785498835718
growth_alpha,sido=전북특별자치도,0.1442307851812106,0.1442307851812106
growth_alpha,sido=경상남도,-0.14281196186246184,0.14281196186246184
growth_alpha,avg_rating,-0.13572642102978652,0.13572642102978652
growth_alpha,sido=충청북도,-0.11451373127682693,0.11451373127682693
growth_alpha,sido=대전광역시,-0.09733244956110161,0.09733244956110161
growth_alpha,store_avg_ticket,-0.09133633220328476,0.09133633220328476
growth_alpha,sido=경상북도,-0.09082359202280899,0.09082359202280899
growth_alpha,category=백반·죽·국수,-0.0882868635450433,0.0882868635450433
growth_alpha,brand=본그룹,-0.0882868635450433,0.0882868635450433
growth_alpha,sido=충청남도,0.07776594377355307,0.07776594377355307
growth_alpha,sido=전라남도,0.06897660148155813,0.06897660148155813
growth_alpha,sido=부산광역시,-0.06861554263122474,0.06861554263122474
growth_alpha,historical_composite_growth,-0.06331049306259617,0.06331049306259617
growth_alpha,historical_sales_growth_3m,-0.06110236503116617,0.06110236503116617
growth_alpha,historical_order_growth_3m,-0.060000254497569225,0.060000254497569225
growth_alpha,category=피자,0.059414204711349165,0.059414204711349165
growth_alpha,sido=경기도,0.058247171698558996,0.058247171698558996
growth_alpha,active_menu_count,-0.051047483059094345,0.051047483059094345
growth_alpha,sido=광주광역시,-0.04996834283727567,0.04996834283727567
growth_alpha,historical_category_adjusted_growth,-0.03272003567807352,0.03272003567807352
growth_alpha,sido=울산광역시,0.03180360750135018,0.03180360750135018
